point;time;Leq;L5;L10;L50;L90;condition
P3;94;69.32;71.19;70.94;69.35;67.02;Without fireworks
P3;95;71.42;76.71;75.08;69.22;67.34;Without fireworks
P3;96;71.11;74.46;72.91;70.4;68.38;Without fireworks
P3;97;69.43;72.07;70.44;68.85;67.47;Without fireworks
P3;98;76.82;83.53;80.18;72.99;70.91;Without fireworks
P3;99;71.4;73.5;72.85;71.02;69.45;Without fireworks
P3;100;70.68;73.4;72.52;70.23;67.95;Without fireworks
P3;101;71.45;73.2;73.02;70.84;69.81;Without fireworks
P3;102;69.95;72.1;71.39;68.92;67.7;Without fireworks
P3;103;71.32;74.76;72.95;70.57;69.08;Without fireworks
P3;104;70.46;72.73;72.32;70.34;68.08;Without fireworks
P3;105;70.66;72.49;71.78;70.47;68.57;Without fireworks
P3;106;70.24;72.53;71.97;70.06;67.12;Without fireworks
P3;107;71.12;74.38;73.37;69.96;68.35;Without fireworks
P3;108;71.24;73.54;73.07;70.83;69.2;Without fireworks
P3;109;73.56;80.5;78.13;69.51;68.25;Without fireworks
P3;110;70.96;73.76;71.97;70.03;68.9;Without fireworks
P3;111;70.19;72.27;71.94;69.8;68.31;Without fireworks
P3;112;70.17;72.49;71.48;69.89;68.43;Without fireworks
P3;113;70.51;72.16;71.83;70.43;68.55;Without fireworks
P3;114;70.75;71.96;71.06;70.04;69.32;Without fireworks
P3;115;73.52;74.11;72.8;70.77;68.85;Without fireworks
P4;0;69.75;75.2;74.03;60.73;59.18;Without fireworks
P4;1;59.46;60.54;59.93;59.28;58.69;Without fireworks
P4;2;60.11;63.13;61.58;59.36;58.76;Without fireworks
P4;3;61.29;65.92;63.15;60.22;59.17;Without fireworks
P4;4;61.98;65.35;64;61.28;59.88;Without fireworks
P4;5;60.3;62.59;60.94;59.89;59.31;Without fireworks
P4;6;61.83;65.8;62.74;60.85;59.85;Without fireworks
P4;7;59.82;60.89;60.44;59.69;59.35;Without fireworks
P4;8;60.45;61.6;61.29;60.31;59;Without fireworks
P4;9;61.43;62.69;62.27;61.14;60.75;Without fireworks
P4;10;61.82;63.54;62.9;61.35;60.99;Without fireworks
P4;11;63.02;64.88;64.38;62.55;61.75;Without fireworks
P4;12;62.37;63.66;63.29;62.13;61.5;Without fireworks
P4;13;62.22;63.5;63.09;62.11;61.38;Without fireworks
P4;14;61.83;62.52;62.47;61.76;61.08;Without fireworks
P4;15;61.59;62.54;62.17;61.41;60.88;Without fireworks
P4;16;61.68;62.59;62.28;61.56;61.08;Without fireworks
P4;17;63.12;67.42;65.14;61.35;60.87;Without fireworks
P4;18;68.54;74.97;69.42;62.15;61.06;Without fireworks
P4;19;69.48;74.16;73.3;66.49;63.17;Without fireworks
P4;20;71.5;73.74;73.25;71.59;62.68;Without fireworks
P4;21;71.87;74.59;73.29;71.42;70.26;Without fireworks
P4;22;71.84;73.9;73.38;71.69;68.96;Without fireworks
P4;23;71.89;73.59;73.27;71.57;70.2;Without fireworks
P4;24;71.38;72.73;72.48;71.34;69.94;Without fireworks
P4;25;69.48;73.67;72.8;67.32;62.63;Without fireworks
P4;26;72.06;73.97;73.32;71.97;70.09;Without fireworks
P4;27;72.32;74.58;73.77;71.93;70.55;Without fireworks
P4;28;73.06;76.4;75.2;71.92;69.31;Without fireworks
P4;29;71.65;74.52;74.04;70.79;67.87;Without fireworks
P4;30;69.9;71.5;71.01;70.09;66.84;Without fireworks
P4;31;68.39;70.63;69.97;68.28;64.03;Without fireworks
P4;32;73.1;76.05;75.77;72.36;69.18;Without fireworks
P4;33;73.65;76.59;76.24;73.68;63.16;Without fireworks
P4;34;72.29;74.6;73.51;71.99;70.5;Without fireworks
P4;35;72.34;74.53;73.4;72.36;68.96;Without fireworks
P4;36;71.78;73.63;73.35;72.02;68.5;Without fireworks
P4;37;63.7;66.8;65.58;63.59;59.26;Without fireworks
P4;38;67.93;71.7;71.27;66.51;63.26;Without fireworks
P4;39;70.98;73.57;72.95;70.93;67.59;Without fireworks
P4;40;71.86;74.1;73.31;71.5;69.63;Without fireworks
P4;41;72.28;73.97;73.63;72.3;69.43;Without fireworks
P4;42;73.63;75.84;75.07;72.3;69.62;Without fireworks
P4;43;72.11;75.49;74.84;71.66;60.95;Without fireworks
P4;44;68.44;74.01;71.76;65.51;61.22;Without fireworks
P4;45;75.8;73.23;70.27;67.4;65.48;Without fireworks
P4;46;68.83;72.98;71.46;68.08;59.61;Without fireworks
P4;47;74.89;72.89;71.37;69.42;66.77;Without fireworks
P4;48;70;71.51;71.35;70.11;67.71;Without fireworks
P4;49;68.55;70.83;70.44;68.92;63.78;Without fireworks
P4;50;71.52;73.54;72.81;70.85;69.09;Without fireworks
P4;51;70.38;73.03;72.17;69.51;68.15;Without fireworks
P4;52;71.96;74.27;74.08;70.69;68.74;Without fireworks
P4;53;69.89;74.78;72.19;69.84;59.66;Without fireworks
P4;54;70.39;74.74;71.51;69.75;64.16;Without fireworks
P4;55;69.73;71.6;71.16;69.69;68.14;Without fireworks
P4;56;92.5;96.8;95.88;90.74;79.47;With fireworks
P4;57;90.91;93.95;92.5;90.15;78.25;With fireworks
P4;58;88.83;93.17;91.59;86.02;75.84;With fireworks
P4;59;88.92;93.33;91.66;87.8;77.34;With fireworks
P4;60;87.69;93.03;91.05;84.77;73.52;With fireworks
P4;61;86.65;92.05;89.75;84.65;75.7;With fireworks
P4;62;86.61;91.04;90.12;85.02;76.77;With fireworks
P4;63;90.89;97.03;95.17;87.73;75.13;With fireworks
P4;64;89.05;94.13;93.3;85.24;75.14;With fireworks
P4;65;89.8;96.49;94.97;83.36;76.96;With fireworks
P4;66;89.26;94.38;93.56;83.09;75.34;With fireworks
P4;67;91.38;97.01;96.12;87.44;76.72;With fireworks
P4;68;89.35;94.06;92.94;87.28;80.74;With fireworks
P4;69;87.51;92.54;91.47;84.26;71.96;With fireworks
P4;70;86.32;91.63;91.09;83.17;72.13;With fireworks
P4;71;89.86;95.44;93.88;79.66;65.25;With fireworks
P4;72;87.92;94.06;93.06;79.3;63.42;With fireworks
P4;73;89.42;95.4;93.5;82.21;64.29;With fireworks
P4;74;88.75;93.67;93.25;75.23;68.27;With fireworks
P4;75;68.6;75.34;69.9;65.71;64.06;Without fireworks
P4;76;66.82;68.82;68.23;66.26;65.06;Without fireworks
P4;77;67.31;69.62;68.89;66.68;65.31;Without fireworks
P4;78;74.21;79.87;75.34;67.19;65.36;Without fireworks
P4;79;71.09;75.39;74.81;69.73;67.02;Without fireworks
P4;80;73.42;75.89;75.67;71.81;68.89;Without fireworks
P4;81;70.2;73.49;72.45;69.55;67.75;Without fireworks
P4;82;68.37;70.12;69.67;68.01;66.53;Without fireworks
P4;83;68.42;71.86;70.15;67.21;65.71;Without fireworks
P4;84;66.21;69.5;68.89;65.16;64.13;Without fireworks
P4;85;70.27;74.62;73.09;68.4;64.46;Without fireworks
P4;86;63.81;67.63;65.69;62.9;61.81;Without fireworks
P4;87;66.41;69.44;68.73;65.58;63.01;Without fireworks
